P1,P2,P3,P4,P5,P6,P7,P8,P9
0.912813221,0.952087299,0.696742331,0.450618636,0.782045027,0.999733029,-0.033745273,2.137286648,-0.054384487
0.842654179,0.391816995,0.283967112,0.541146425,0.584928282,0.993057259,-0.031173842,1.348210089,-0.054323197
0.987592046,0.999785376,0.331561388,0.407681176,0.818401452,0.906209465,-0.033225608,1.134495759,-0.054287977
0.988147816,0.999722399,-0.263887542,-0.3415718,0.880852668,0.931499484,-0.032029132,0.249505851,-0.054217802
0.99895086,0.058998415,0.240624673,-0.022902368,0.827613976,0.989136533,-0.031561332,1.173892279,-0.054250568
0.973533491,0.889182309,0.11466078,-0.088693152,0.99949284,0.225327869,-0.031200949,0.051894813,-0.054090418
0.989369745,0.897619419,0.315554707,0.679845848,0.16839536,0.998554038,-0.030013425,2.156893083,-0.054273086
0.99812185,0.999642275,-0.167338357,-0.193477634,0.615675817,0.734276576,-0.031668295,-0.16971759,-0.054045758
1,0.994523857,-0.003830115,-0.019199001,0.400455138,0.471143292,-0.032794718,-0.604716003,-0.05357959
0.876535945,0.974149337,0.895181272,0.750179332,-0.277211747,0.801765894,-0.03169614,0.25757507,-0.053998144
0.459678237,0.993078882,0.6443219,0.221562279,0.750197253,0.257200263,-0.029377605,0.13743556,-0.054355485
0.999380286,0.995973928,0.750983511,0.735586255,0.555932133,-0.288826255,-0.029752709,-0.345181181,-0.053398262
0.979285774,0.378020717,-0.205302963,-0.117116577,0.100552398,0.773709972,-0.032032823,-0.001831618,-0.054003531
1,0.189819822,0,0,-0.068471918,0.367562279,-0.032566993,-1.011021127,-0.046297772
0.969923018,0.999119684,0.750755447,0.602426108,0.779201996,0.571928753,-0.031898851,0.108919342,-0.054031819
0.999732846,0.942154815,-0.659335931,-0.705232627,0.428490146,0.991244238,-0.033873652,0.081275124,-0.05424483
0.999854445,0.987229149,-0.403722856,-0.34612615,0.958483502,0.855747062,-0.032813371,-0.209874007,-0.054003687
0.995245113,0.995245119,0.684165564,0.68416289,-0.061320799,0.998126582,-0.032031937,2.107779735,-0.054340586
0.188614116,0.031166083,0.832166743,0.342502672,0.82457414,0.152444443,-0.013935843,-0.296466748,-0.052396539
0.999526817,0.974302196,-0.279630085,-0.344624577,-0.189506627,0.856694083,-0.032895088,0.414230244,-0.054226412
0.999626854,0.599005917,-0.263442725,-0.419831723,0.93664637,0.648508066,-0.032515671,-0.166958988,-0.053988065
0.999324783,0.8606269,0.292001644,0.504411241,0.709220385,0.833115081,-0.031964885,0.800696018,-0.054222343
0.999560777,0.574247325,0.389782616,0.073217302,0.375478891,0.385341584,-0.032710629,-0.882105651,-0.052135133
0.990172056,0.995556648,0.843942939,0.774902103,0.999383827,0.720489074,-0.031222338,-0.589625007,-0.053551762
0.9998087,0.99980017,0.384118719,0.383944644,0.547604162,0.999970043,-0.032718,2.171937036,-0.054370453
0.999203025,0.840262265,0.00210209,-0.39011475,0.998086998,0.184514244,-0.03283384,-0.650106477,-0.053374424
0.999971104,0.801450758,0.450078222,0.296672907,0.221535199,0.935766745,-0.032791041,0.313553693,-0.054196165
0.987974207,0.985107557,-0.020555238,0.186796507,0.958435796,0.927752712,-0.0322913,0.232072762,-0.054161236
0.999932537,0.842677782,-0.54779934,-0.604025188,0.711074526,0.52679966,-0.032669013,-0.558406292,-0.053632743
0.987637368,0.284655649,0.776731663,-0.163130408,0.510213095,0.546358461,-0.029487907,-0.493566036,-0.053053515
0.809387796,0.618737453,-0.185972374,-0.179936749,0.581522062,0.34914087,-0.032771023,-0.63310432,-0.053479399
1,0.870169601,0.057663,0.147039696,0.417917833,0.967035996,-0.033354254,1.149433641,-0.054343227
0.244001282,0.252105013,0.179352659,0.251516586,0.240291087,0.888547596,-0.030042571,0.155773549,-0.054118748
0.99574578,0.943894849,-0.294339205,-0.409824945,0.567262603,0.850459925,-0.032687335,0.143175847,-0.054143639
1,0.557713777,0.815097096,0.30210948,0.812899438,0.720799859,-0.032307204,0.686350866,-0.054228963
0.999939304,0.575057245,0.291976514,0.610326435,0.517979021,0.972620911,-0.032184309,1.835429053,-0.054331911
0.866733334,0.409490161,-0.21547101,-0.286197605,0.448213544,0.987628416,-0.032451159,0.770233492,-0.054312849
0.996391107,0.960214446,-0.661415302,-0.755765588,0.980597548,-0.061125625,-0.032325874,-0.951539195,-0.050435711
0.98974863,0.93964511,0.973856647,0.944348219,-0.020707775,0.958587354,0.022531708,0.704163362,-0.053252416
0.931183051,0.999998937,0.595928854,0.590789692,0.399217448,0.866697721,-0.030784843,-0.253276193,-0.053777551
0.995119694,0.495786847,0.427310356,-0.133896129,0.274858917,0.98746234,-0.031382492,1.563898521,-0.05428636
0.443443014,0.740395498,0.279947156,0.370326926,0.625445964,0.931012153,-0.032429793,1.260689132,-0.054279176
0.99943721,0.913562896,0.950252436,0.813698941,0.097771487,0.843719062,-0.031038413,0.762412292,-0.054152868
0.996645682,0.983348674,-0.483748733,-0.52327227,0.770400654,0.934382619,-0.023668361,0.828396574,-0.054274713
0.999917681,0.947908617,-0.100153251,-0.033180543,0.890333849,0.508248625,-0.032712884,-0.239799431,-0.053974019
0.998745792,0.212016737,-0.063190732,0.101605676,0.497049986,0.994447538,-0.032125513,1.445437212,-0.054300499
0.945315595,0.235551972,0.77077357,0.380522087,0.362168605,0.97165362,-0.031125199,0.973995967,-0.05422249
0.982465997,0.812643153,0.946110963,0.699623108,0.542427633,0.983147525,-0.029685023,1.300689914,-0.054187733
0.987338108,0.815703038,-0.254293446,0.027818807,0.454367848,0.933880605,-0.032845524,1.916177921,-0.054363511
0.985479341,0.99895109,0.069907328,-0.058581514,0.901434788,0.481421408,-0.023610737,1.406267201,-0.054321773
0.999999986,-0.133032255,0,0,0.756526035,0.208081016,-0.032349053,-0.732421751,-0.053066268
0.994744531,0.902538605,-0.109596202,-0.283389147,0.787648131,-0.134744316,-0.032264003,-1.013630463,-0.042321296
0.968578077,0.859849537,-0.021468115,0.076432879,0.646571321,0.977797894,-0.032457823,1.325982945,-0.054324174
0.999457439,0.996471145,0.845892447,0.827059982,0.806035693,0.879029571,-0.031973882,0.135176359,-0.054200704
0.971463469,0.71025151,0.709211582,0.289618323,0.526102162,0.513269438,-0.031150459,-0.194964863,-0.053788152
0.298454818,0.754370373,0.645022478,0.337599411,0.588346888,0.943808065,-0.033105854,0.820850445,-0.054315356
1,0.771193844,0.587378552,0.718992739,0.1856277,0.866300857,-0.033161703,1.128085431,-0.054331183
0.904713707,0.338858763,0.398837322,-0.140970432,0.625312821,0.458824116,-0.031420748,-0.624124936,-0.053447008
0.9852073,0.619401094,0.778839285,0.614865273,0.843493421,0.811368156,-0.032124972,0.265389861,-0.054110603
0.861738059,0.999475141,0.45443927,0.386150442,0.530325773,0.371452387,-0.0278314,0.167574187,-0.053585948
0.999044218,0.941351436,-0.257346639,-0.284103848,0.901512856,0.999243031,-0.032713149,2.052239778,-0.054363375
0.932575988,0.982541555,0.587557887,0.538400927,0.326570836,0.998732777,-0.033570873,2.066955418,-0.054349964
1,0.978935758,-0.347185802,-0.402635915,0.892258773,0.621906051,-0.032476548,-0.509913795,-0.053669289
0.99999073,1,0.79771666,0.796806871,0.385550531,0.475186085,-0.031399682,0.559731638,-0.054140567
0.999995885,0.897428904,-0.259097622,-0.230907332,0.543114779,0.471246533,-0.032669988,-0.656265501,-0.053425406
0.854195288,0.981852997,0.730970081,0.646443373,0.289970748,0.539782947,-0.031324058,0.943026728,-0.054169856
0.999971486,0.993815767,-0.229454383,-0.155943259,0.615071522,0.648532073,-0.032777384,-1.018551909,-0.045522805
0.999651204,0.819062113,0.476788385,0.493356173,0.800882526,0.815852451,-0.032273573,1.205673508,-0.054289179
0.982247191,0.999998246,0.038057409,0.06353868,0.977735224,0.513535097,-0.033668382,-0.989182648,-0.049234148
0.88515345,0.978070651,0.079835532,0.210038622,0.809644208,0.961922809,-0.032415441,1.549075896,-0.054303299
0.977004309,0.996205779,0.2893273,0.179241871,0.830010224,0.996667115,-0.032219145,1.986938341,-0.054351052
0.999989335,0.988043466,0.816067562,0.765723683,0.437267587,0.41435843,-0.031711845,-0.252551532,-0.053821459
0.950375533,0.871909514,0.268298748,0.261640706,-0.574856356,0.411161105,-0.03214544,0.302408378,-0.05416343
0.999397152,0.878042699,0.657865771,0.631517153,0.281640044,0.860585818,-0.032075861,0.504179681,-0.054178495
0.919178505,0.757572671,0.037833695,-0.176183864,0.947476532,0.50488369,-0.032437081,-0.510548666,-0.053712297
0.999988118,0.998001887,-0.263647052,-0.279466859,0.490375407,0.356098049,-0.033176659,-1.066400989,7.486295884
0.989636123,0.994526706,0.041146056,0.11224992,0.657980299,-0.279538524,-0.03234253,-0.890160217,-0.051820994
0.999867653,0.986175777,-0.308260343,-0.376567304,0.966909556,0.782961084,-0.032379529,-0.947858094,-0.050491862
0.999980347,0.983014308,-0.064899878,-0.03912183,0.339322378,0.981057479,-0.032533767,1.608048856,-0.054334549
-0.133945433,0.283607893,0.970913962,-0.171277665,0.976834674,0.905624657,-0.030863732,-0.375025741,-0.053857495
0.988047197,0.98005722,0.640293413,0.550884982,0.868180012,-0.059132364,-0.031805275,-1.053679659,-0.00652493
0.999988359,0.956792924,0.273098714,0.320751928,0.971325491,0.773596148,-0.03240684,-0.342401644,-0.053851756
0.999918825,0.86439951,0.222305778,0.407415018,-0.135071666,0.975022166,-0.032202469,1.844938541,-0.054334569
0.999996756,0.992282274,-0.11593577,-0.118882312,0.778732833,0.145508525,-0.032507703,-0.668546511,-0.053342141
0.999533167,0.921652041,-0.073415204,-0.188369075,0.952430287,0.065131295,-0.031668098,-0.873159643,-0.051549839
0.999894962,0.999755365,0.834817486,0.832978277,0.093272121,0.568400078,-0.032213069,0.05854489,-0.054062221
0.952610059,0.987348105,0.724163072,0.717425354,0.286876564,0.879163223,-0.031569635,1.434057662,-0.054147215
1,0.968133345,-0.462474407,-0.472677785,-0.080617466,0.98635574,-0.03284053,1.990637748,-0.054368045
0.999409872,0.802346162,-0.233741392,-0.48738641,0.942963617,0.90514773,-0.031252908,0.464288686,-0.054050401
0.99629385,0.936643856,0.942415942,0.892206696,0.004256799,0.940807173,-0.021391648,0.283056493,-0.053186916
0.999993716,0.950758296,-0.485689745,-0.467534331,0.964218009,0.801656433,-0.032705798,-0.345708535,-0.05389679
0.826293341,0.423660774,0.032615962,-0.157409118,0.570130748,0.872047981,-0.030992517,0.468299301,-0.054201659
0.999999993,0.891129903,0.765230375,0.744891007,0.081235718,0.542130982,-0.032272304,-0.937327246,-0.050710396
0.881723429,0.999822247,-0.211178424,0.01592666,0.843935477,0.999097156,-0.032991437,2.097943531,-0.054356668
1,0.837758577,0.043027238,0.132519832,0.793776922,0.923282658,-0.032525022,1.878577678,-0.054350018
0.990194435,0.957118511,-0.221434612,-0.273498218,0.914715073,0.739836672,-0.032849595,-0.345308732,-0.05393953
0.999996282,0.999050539,-0.214636692,-0.204033787,0.782259774,0.928276764,-0.032632303,0.714399663,-0.05425466
0.946261691,0.741638784,-0.122707639,-0.149331909,0.507201779,0.880061183,-0.031579642,0.924463929,-0.054280448
0.847642105,0.979109065,0.698641478,0.423866215,0.138923952,0.556171384,-0.031146163,-0.092162288,-0.053949205
0.998656862,0.998844877,0.193155885,0.222733368,0.638871567,0.673707549,-0.031257322,-0.128000561,-0.0538496
0.996958906,0.965500708,0.785637122,0.771071012,0.804222604,0.673691084,-0.032183765,-0.214132139,-0.053913477
0.950718634,0.756857309,0.165080295,-0.012979734,0.275090832,0.19427128,-0.0315951,-0.694601321,-0.05321637
0.999896563,0.999984332,0.976969876,0.979015216,0.755347198,0.462012587,-0.02217324,0.200840433,-0.05317454
0.999957446,0.99970982,0.337323516,0.330493427,0.939359135,0.506521246,-0.030916871,-0.644034518,-0.053467128
0.827721941,0.999311361,0.749080582,0.810102725,0.697781909,0.840397215,-0.031175947,0.550416033,-0.054090497
0.99999705,0.985028581,0.775165022,0.748918578,0.97438097,0.912764945,-0.032354316,0.002525582,-0.054055304
0.99921949,0.995662101,0.07482825,0.063666314,0.817961413,0.999991993,-0.032427536,2.172302184,-0.054363532
0.998637776,0.952527562,-0.200450292,-0.038798939,-0.057450292,0.940552751,-0.032587744,1.230263872,-0.054307574
0.99999434,0.999966868,0.280856198,0.278656643,0.877787566,0.424230798,-0.032658794,-0.99048585,-0.048646005
0.769242897,0.739348362,-0.206063844,0.365415352,0.363036883,0.971228616,-0.029052806,1.620533041,-0.054401378
0.999365843,0.998531259,0.650825752,0.651841509,0.920883849,0.333162897,-0.029073373,-0.804028334,-0.05115423
0.999162533,0.999992787,0.743275462,0.750926809,-0.459237917,0.880631426,-0.030942629,1.58372647,-0.054258001
0.999937576,0.920282853,-0.474768638,-0.436143933,0.842969281,0.930598884,-0.032026609,1.41446224,-0.05429593
0.980988252,0.986758379,-0.268430112,-0.289911117,0.826871449,0.955445928,-0.0324307,1.887423455,-0.054343883
0.812237182,0.067582033,0,0,0.007968451,0.969886394,-0.032211722,1.172918963,-0.054243323
0.999610086,0.993320487,0.21933905,0.166713391,0.861002128,0.997948276,-0.034048077,2.118292594,-0.054372247
0.999307581,0.848658481,0.946925965,0.811706939,0.978221706,0.986679624,-0.031838258,1.510452501,-0.054294546
0.999995171,0.99999927,0.425126804,0.425150372,0.622609702,0.992802426,-0.03228672,1.980758313,-0.054345503
0.996320348,0.993228961,0.23513295,0.191744634,0.97480154,-0.449439791,-0.033206424,-0.041099063,-0.05406854
0.95101763,0.986858998,-0.726504113,-0.615244602,0.842927566,0.770479422,-0.032666708,-0.023240902,-0.054083773
0.984076811,0.986716718,-0.072718735,0.072077004,0.925326565,0.976107311,-0.032874706,1.036446302,-0.054274185
0.999999603,0.977559203,0.441458512,0.341105008,0.970441365,0.822141534,-0.032731159,-0.572389602,-0.053624692
0.994918506,0.171998421,0,0,0.131936901,0.36504709,-0.031318053,-0.987755885,-0.046928395
1,0.957889872,0,0,0.624433541,0.599394695,-0.032921386,0.323020194,-0.054209153
0.998041779,0.897746879,0.54735442,0.490409216,0.963631672,0.376249593,-0.032361936,-0.918611316,-0.051209379
0.999991533,0.65398837,-0.11384902,-0.306095416,0.584847168,0.787997213,-0.032877649,0.159282108,-0.05416444
0.99515732,0.999285966,0.628551938,0.614232201,0.103413288,0.998914892,-0.031611326,2.101057901,-0.054332182
0.976550678,0.952487268,-0.102196528,-0.21425327,0.945676361,0.670840148,-0.032224768,-0.141568969,-0.054009944
0.995837006,0.497113071,0,0,-0.050502404,0.436786011,-0.032409436,-0.589196103,-0.053545172
0.999988053,0.961220703,-0.321891239,-0.334682709,0.987169235,0.500411027,-0.032630622,-0.890653932,-0.051955337
0.999652483,0.983553061,0.491772231,0.397439965,0.82836462,0.488744884,-0.031686021,-0.307778106,-0.053763803
0.999908516,0.462412418,0.855809629,0.135605635,0.28719665,0.67912754,-0.033068525,0.487824509,-0.054249936
0.999999209,0.927693116,-0.3445397,-0.369283139,0.526541346,1,-0.032843264,2.177948117,-0.054376079
0.99934738,0.969439338,0.084766956,0.151435313,-0.091304092,0.004396483,-0.03242986,-1.063559209,0.109206598
0.999999127,0.973876832,0.270031797,0.223559711,0.066138943,-0.225197158,-0.030177477,-0.962634045,-0.047377889
0.892775551,0.963165156,-0.38555161,-0.281820401,0.631968178,0.843975885,-0.033022594,0.369623421,-0.05421578
0.999440498,0.995408026,0.588196833,0.605818015,0.741970821,0.699649744,-0.032662958,0.540148539,-0.054226501
0.998685541,0.498954727,0.330628001,0.208258771,0.328812385,0.838883714,-0.032071579,0.711589832,-0.054206688
0.989615501,1,-0.019757149,-0.006158472,0.871605607,0.82411808,-0.033732556,0.641750309,-0.054270054
0.940740789,0.252814569,0.605494629,0.147745923,0.65476178,0.54159279,-0.031809055,-0.416856314,-0.053707049
0.999968466,0.917343899,0.701521034,0.619746104,0.740563179,0.979351816,-0.032693789,1.987947166,-0.054361874
0.907333703,0.986870905,0.403605823,-0.018536881,0.0793382,0.249307277,-0.032239216,-1.000276777,-0.046231499
0.901277226,0.993356358,0.384705731,0.62249699,0.739232953,0.97420217,-0.032609286,1.943671999,-0.054344729
0.988201453,0.945245613,-0.035841231,0.107383904,0.803053919,0.832266473,-0.032914218,1.302920596,-0.054305317
0.945616948,0.765126181,0.988913842,0.757673496,-0.193451325,0.646127297,-0.031136193,1.085319017,-0.054195817
0.988999147,0.995847029,0,0,0.810189415,0.445012293,-0.033959754,-0.98076038,-0.049606534
0.957938544,0.91356163,0.582247734,0.484154968,0.630688574,0.878106357,-0.031974274,-0.529134219,-0.053481262
0.965443985,0.999928613,0.820979732,0.725045913,0.879545417,0.247928732,-0.030511821,-1.060940515,0.025629491
0.999720787,0.947687181,0.024628001,0.122664473,0.081782996,0.637427559,-0.032098879,0.518613992,-0.054181662
0.999971304,0.985010555,-0.512968654,-0.490963433,0.969750647,0.966720156,-0.032681783,1.341856971,-0.05432269
0.913043969,0.993651695,0.495064107,0.595523543,0.707592406,0.993329791,-0.032279826,1.866162499,-0.054324734
0.969363135,0.998847742,0.386768124,0.413770414,0.94157918,0.323022455,-0.032312166,-0.846315492,-0.052477174
0.999999976,0.979389032,-0.241357833,-0.28620323,0.961515174,0.43082352,-0.032293934,-0.278672492,-0.053887347
0.96109593,0.280748876,0.1770054,-0.01368252,0.956325619,-0.026494342,-0.032962925,0.251647282,-0.054171638
0.9993723,0.511038887,-0.121257771,-0.287256369,0.261826244,0.467504268,-0.03170668,-0.078674806,-0.053940326
0.99857981,0.780146823,0.210004509,0.157804423,0.063592595,0.734631121,-0.032434258,1.205614398,-0.054296962
0.997655314,0.995580885,0.279219683,0.279675468,0.810224325,0.967949535,-0.032041857,0.515549646,-0.054272751
0.99999464,0.840900702,-0.589512328,-0.479325516,0.739138505,0.950567746,-0.032671091,0.852033165,-0.054275443
0.999997911,0.768441074,-0.431267888,-0.400514428,0.959605995,0.668129698,-0.032203076,-0.584163692,-0.053472325
0.997257585,0.59121828,0.536522145,0.232969675,0.359473251,0.810827924,-0.030440825,-0.691102393,-0.05260171
0.991462781,0.88117574,0.926058905,0.790081668,0.547604846,0.349824255,-0.030434162,-0.854274127,-0.050662176
0.999920707,0.935140133,-0.623716858,-0.601688634,0.832026444,0.782425935,-0.032919571,0.681227482,-0.05426948
0.926930247,0.762760925,0.937182493,0.537004031,0.22770731,0.367461199,-0.031793568,-0.910214929,-0.049633759
1,0.942116411,-0.319019357,-0.359120399,0.953963257,0.055123757,-0.032743315,-0.945993857,-0.050903443
0.99505889,0.805332535,-0.495672031,-0.485840121,0.990451141,-0.172181929,-0.032799298,-0.99120317,-0.048698969
0.999516087,0.95763574,0.39381921,0.192829235,0.54799947,0.643904026,-0.031547887,0.929824607,-0.054214509
0.996587105,0.996320396,0.065718147,-0.022619996,0.954068125,0.540965973,-0.032701486,-0.920755942,-0.051459956
0.998446471,0.985746681,-0.039916566,0.021644295,0.191981591,0.896584149,-0.032830278,1.131146922,-0.054308001
0.999765312,0.953608352,-0.192140666,-0.201479352,0.990950471,0.197480716,-0.032740909,-0.12252208,-0.054045777
0.997671644,0.971046161,0.378489042,0.401568702,0.754959597,0.990670113,-0.032350883,1.396619896,-0.054306472
0.999407916,0.8733318,0.444325931,0.26699836,0.913023574,0.29272698,-0.031908231,-0.512458841,-0.053540915
0.999999967,1,0.419318598,0.419431468,0.999637227,0.595623007,-0.032722917,-1.060883,0.023854247
0.798866009,0.984643175,0.133940766,0.233028747,0.653422194,0.840288516,-0.033120992,0.089982817,-0.0541421
0.99932154,0.970294387,-0.507183736,-0.546673813,0.158140431,0.683195221,-0.032845476,0.668625782,-0.054263544
0.729880323,0.987338499,0.502493538,0.427280059,-0.412246197,0.998549475,-0.032671736,2.109922921,-0.054356063
0.972169507,0.951046861,0.883377436,0.859055991,0.486626815,0.679430961,-0.029041762,-0.663234555,-0.052154374
1,0.999189666,0.861747268,0.855695373,-0.079633509,0.440726001,-0.032448635,-0.232032233,-0.053944019
0.992077382,0.869428572,0.524455254,0.342542343,0.823586434,0.51838343,-0.033125526,-0.424169052,-0.053889019
0.928851056,0.999997824,0.780203996,0.838335418,0.54302044,-0.073185845,-0.030745081,-0.634052347,-0.053027389
0.999907577,0.999997281,-0.004366863,-0.01617525,0.825547526,0.341072943,-0.031279087,-0.27790711,-0.053986923
0.925689795,0.239740916,-0.228759029,0.153565723,-0.025175614,0.775217434,-0.03143407,-0.286017168,-0.053641466
0.38574425,1,-0.071792073,0.219204961,0.564493543,0.292770019,-0.032451159,-0.265554658,-0.053856766
0.998989931,0.725473872,-0.333253959,-0.35483041,0.131956455,0.509740055,-0.032411482,-0.429788072,-0.053753762
0.999906816,0.992008244,0.359636206,0.381569238,-0.23961232,0.980657852,-0.032498724,1.660638742,-0.054335628
0.720358315,-0.230556776,0.546479776,0.231857116,0.115790022,0.126377848,-0.030721989,-1.033287836,-0.03017268
0.99965732,1,0.564090172,0.556053711,0.219444859,0.300123006,-0.031113803,-0.986914361,-0.046578007
0.998471771,0.838804572,-0.04626119,0.003762278,0.503243514,-0.191796376,-0.031491464,-0.351603061,-0.053679762
0.929091116,0.789990444,0.831712555,0.51622091,0.598973574,0.842342824,-0.032722083,0.797620246,-0.054264028
0.999986132,0.957687427,0.175910409,0.113613377,0.998150061,0.245826204,-0.032563854,-0.547598853,-0.053625164
0.998747441,0.95514709,0.410022764,0.5095062,0.129322359,0.785512727,-0.032050536,1.164333941,-0.05427166
0.776942944,0.990145538,0.811105134,0.659177898,0.783001464,0.157447548,-0.03213903,-0.076206296,-0.053912841
0.999839295,0.985131557,0.142528017,0.077220705,0.292799428,0.825160861,-0.032974388,0.09205531,-0.054154504
0.97096111,-0.0626468,0.488377074,-0.422727746,0.92904043,0.799290738,-0.032084641,0.281000036,-0.054136735
0.999997167,0.999998285,0.606253677,0.605950182,0.773038512,0.332828922,-0.028873216,0.115742017,-0.053748529
0.999988667,0.984373248,0.677368739,0.701091036,0.947777296,0.378657125,-0.03255368,-0.082733891,-0.054041821
0.998771228,0.998697254,0.327552488,0.335220214,0.70672451,-0.213300173,-0.032619932,1.092890697,-0.054294235
0.972317104,0.878624834,0.714505188,0.417399812,0.810241707,0.655466512,-0.031594788,0.075247853,-0.05398971
0.999991211,0.9001823,-0.793428438,-0.777157934,0.656264217,0.093283055,-0.033191069,-0.852278298,-0.05272751
1,0.856922317,0.823257835,0.497244509,0.591520872,0.021840761,-0.029940184,-1.066298572,4.959006766
0.977614004,0.998172068,-0.116508067,-0.200099772,0.789789427,0.870394861,-0.032979961,-0.757385335,-0.053116126
0.999778422,0.938575407,0.407715389,0.469157594,-0.68273404,0.989535293,-0.033599401,1.397711825,-0.054370557
0.999994767,0.984277241,-0.345148609,-0.318475769,0.736551184,-0.222034667,-0.0329009,-0.314226992,-0.053953487
0.986290133,0.98393962,-0.245248694,-0.288566489,0.993226314,0.091354149,-0.032248938,-1.023008281,-0.042329766
0.957496229,0.996524272,-0.06276324,-0.076130228,0.027635331,0.893667459,-0.032889424,1.053472058,-0.054296376
0.999999998,0.853129827,0.672842445,0.567523962,0.358276822,0.773455594,-0.032713493,-0.572175756,-0.053621003
1,0.970785737,-0.081369356,-0.072966719,0.573943887,-0.478665245,-0.032599754,-1.023559445,-0.043989292
0.999999959,0.900139932,0.154488077,0.158427108,0.888301771,0.397634171,-0.032802313,-0.916017555,-0.051668258
0.997424733,0.756470132,0.911066551,0.606160575,0.451248146,0.889135986,-0.031071243,1.203017099,-0.054226709
0.99880714,0.989260745,0.352142981,0.458907846,0.780692026,0.81642897,-0.032221204,0.10272681,-0.054078408
0.32701957,0.327083151,-0.519899038,-0.519996326,-0.114689895,0.973426534,-0.033619751,-0.311446643,-0.053936245
0.985372698,0.981807914,-0.549107756,-0.458748226,0.719086482,-0.132245078,-0.032735358,-0.497512722,-0.05375821
0.99986741,0.396326548,-0.014151516,-0.090213914,0.118525246,0.151614503,-0.032282486,-0.59818572,-0.053452753
0.713135333,0.311196226,0.526621451,-0.182595944,-0.131136168,0.053187127,-0.032944547,-0.698097546,-0.053130855
0.988543968,0.214896821,0.609821413,0.058826295,0.14783984,0.397921103,-0.03062597,-0.807809301,-0.051721385
0.997645086,0.976664513,0.029380689,-0.014980068,0.985818834,0.376633509,-0.032872064,-0.802072335,-0.052843618
0.961760198,0.536907971,0,0,0.676358479,0.974402886,-0.030111217,0.871555612,-0.054229802
0.998422573,0.690814674,-0.237082073,-0.245405764,0.784375366,-0.216649206,-0.03245608,-0.780927136,-0.052850539
0.986997673,1,0.085502036,0.105273358,0.863539046,0.990063967,-0.032760515,1.397519105,-0.054325681
0.945425045,0.56862997,-0.316524244,-0.073526011,0.769338693,0.631538793,-0.032550813,0.387333327,-0.054225551
0.999974156,0.995979045,-0.038935089,-0.016471799,0.787944268,0.521477683,-0.032614648,-1.011909597,-0.046296207
0.998123337,0.990830765,-0.209675176,-0.259909441,0.897841424,0.605889557,-0.032666593,-0.383459701,-0.053862771
1,0.943281077,0.36697017,0.252312219,0.942796999,0.160509631,-0.032745197,-0.589995161,-0.053595832
0.999662851,0.346407068,0.619942862,0.29732259,-0.068030097,0.565311283,-0.032565454,0.031320759,-0.05408761
0.996303917,0.999798413,0.930375895,0.927948761,0.563929114,0.260256999,-0.02803353,-0.925405674,-0.047397285
