Seller ID, Buyer ID, Amount
125435,8653,8
10368,8998,6
210110,8998,1285
36342,9010,209
19240,9053,9
6941,9058,210
14418,9058,105
20748,9058,8
102355,9058,467
110790,9058,26
126105,9077,17
170754,9077,105
218579,9097,20
81124,9198,10
150652,9323,19
109416,9468,7
707,9526,718
24369,9737,13
6941,9887,150
40411,9890,184
81932,10278,30
24369,10423,9
12640,10743,26
140021,10787,60
200192,10814,11
71557,10942,9
145150,10942,8
103243,10944,6
17476,11034,13
16957,11035,5
75162,11101,107
9902,11354,13
85291,11356,5
12599,11382,246
20433,11382,183
97846,11382,766
65158,568,20
22886,707,29
66381,707,32
112062,707,7
121461,707,6
180755,707,5
6941,1014,46
169702,1272,7
19240,1774,8
187174,1916,11
113648,2102,63
74929,2124,133
52725,2132,68
31734,2134,10
41360,2134,80
116874,2134,81
147421,2134,6
185866,2134,2757
90461,2194,21
114829,2277,784
52701,2290,5
27541,2319,20
64720,2378,12
71725,2378,79
55939,2415,36
2898,2591,3039
33143,2591,106
2538,2676,19
1653,2867,14
16250,2867,87
12999,2898,39
53360,2975,16
45115,3291,24
145383,3291,19
174786,3291,13
61828,3319,80
123825,3319,194
20368,3326,10
2072,3375,92
172522,3401,81
228591,3401,235
8441,3442,14
83711,3442,19
98648,3442,32
121250,3442,6
129231,3442,104
37826,3566,16
104103,3566,14
109414,3566,5
1761,3592,19
96830,3592,2768
159226,3592,12
218401,3592,21
19349,3747,16
3442,3771,21
6941,3771,80
17371,3771,7
151862,3771,16
159101,3771,1407
188199,3771,17
235672,3873,6
9902,4935,33
17443,4935,14
19487,4935,155
68949,4935,19
234658,4935,21
10358,4937,6
168970,5046,64
161457,5418,11
43810,5687,6
14429,6722,41
15869,6722,29
19487,6722,150
49189,6722,51
194922,6722,26
216948,6722,76
118816,6744,12
45304,6941,723
161457,6941,9
162424,6941,7
3341,7055,83
12599,7199,695
12640,7656,104
84588,7656,6
15503,7671,9
40411,7720,5
81931,7720,23
240904,7796,32
16262,8185,9
46443,8185,13
1653,8245,58
40123,8284,1091
15503,8441,70
19487,8441,1266
49189,8441,9
126442,8441,9
128428,8441,6
28760,8444,20
15998,8506,20
42944,8653,11
113272,8653,121
190987,8923,14
2538,9058,8
8441,9058,279
19240,9058,6
110341,9058,69
142639,9058,7
4678,9077,9
21742,9097,29
126885,9097,11
170476,9112,12
68781,9198,5
124712,9449,17
27556,9526,8
6941,9621,25
18056,9887,78
127273,9902,6
149440,9902,16
1653,10100,6
3771,10348,16
19530,10390,22
142370,10491,8
106309,10591,9
16488,10755,7
144321,10855,114
141851,10882,6
91459,10942,78
53427,11101,9
105971,11166,30
92527,11253,5
47030,11382,480
67266,11382,77
78862,11532,20
4000,11599,325
113584,11628,15
139344,11755,12
4555,11922,9
146170,12000,12
14047,12520,559
19886,12520,34
47004,12520,30
83103,12520,6
141851,12520,6
29189,12599,107
197203,12604,8
254886,531,10
229290,594,29
2676,707,53
20342,707,38
73120,707,105
9403,874,9
76394,1193,958
66926,1212,13
2415,1547,48
563,1653,17
4937,1933,22
77492,1933,14
15503,2102,181
66594,2102,16
137514,2102,15
29033,2124,12
14138,2134,60
44008,2134,71
109867,2134,10
140069,2134,108
19976,2277,75
25406,2277,204
39516,2277,5
2139,2290,140
126864,2290,15
1653,2378,8
18056,2378,24
143987,2378,96
25499,2415,12
1446,2591,6
16690,2591,7
224666,2867,15
6941,2975,11
9058,2975,37
707,3254,5
2134,3291,6
18534,3291,52
45304,3291,7
99043,3291,747
135716,3291,5
138922,3291,327
3254,3326,139
34628,3326,27
34988,3326,124
170754,3326,407
32750,3401,13
112398,3401,53
15503,3442,16
19487,3442,142
52725,3442,6
56462,3442,65
207488,3442,71
19417,3497,26
77183,3566,16
126037,3566,8
3341,3592,8
25406,3592,61
135007,3592,31
229528,3592,17
1014,3771,131
9403,3771,6
54193,3771,11
95942,3771,32
100470,3771,939
113914,3771,5
170420,3771,184
223435,3771,19
101169,4197,86
49322,4555,157
57596,4739,18
9112,4935,101
57645,4935,90
96374,4935,11
109822,4935,259
165922,4935,297
257281,4935,5
15869,5671,91
21097,5687,27
7199,6722,174
9316,6722,78
12684,6722,2097
14136,6722,339
24261,6722,20
43512,6722,76
121250,6722,37
126442,6722,59
104103,6744,9
25663,6941,12
52857,6941,8
75125,6941,20
91702,6941,12
111245,6941,128
127273,6941,264
240013,6941,13
90482,6976,86
707,7164,53
75726,7184,8
12520,7199,286
49189,7199,600
126249,7644,143
118567,7656,117
20507,7796,12
90768,7796,39
71364,7835,126
6941,7923,24
41385,7942,19
114370,8185,15
13639,8245,10
12599,8441,70
20433,8441,3889
87317,8441,119
13618,8505,35
48890,8505,834
99258,8505,12
100281,8506,26
16673,8584,9
109867,8584,7
170476,8584,67
13718,8653,5
14432,8653,35
126908,8653,50
85699,9010,90
112848,9010,5
140170,9010,38
124788,9053,168
26427,9058,11
60446,9058,14
84983,9058,8
127748,9058,26
133786,9058,161
10944,9077,7
20163,9077,540
80784,9077,171
81931,9077,97
156466,9077,25
15200,9112,76
18216,9127,66
31595,9279,13
37755,9449,5
122302,9449,23
138904,9737,17
41385,9887,32
149945,9887,9
118755,10297,5
52454,10348,11
58560,594,38
6784,600,73
15498,707,37
49189,707,200
100470,707,194
125732,707,7
37990,715,6
85798,1014,12
92527,1212,17
18216,1304,16
217050,1534,5
28498,1547,9
29282,1547,1195
76646,1761,32
124754,1901,13
30690,1904,7
563,2070,7
2099,2102,7
23917,2102,12
154378,2102,12
200142,2102,12
127273,2124,35
80265,2134,47
119656,2134,173
5046,2277,2793
152984,2277,44
18939,2290,244
132765,2319,22
27850,2325,6
16406,2378,12
50739,2382,45
128428,2434,12
167554,2591,10
30929,3291,18
31713,3291,1887
94420,3291,57
112164,3291,26
6941,3319,47
64720,3326,6
21535,3401,30
97862,3401,437
197847,3401,20
20433,3442,35
123346,3566,10
127748,3566,46
15058,3592,7
22602,3592,110
78703,3592,8
155647,3592,20
57586,3747,7
6722,3771,916
49336,3771,14
108579,3771,47
127273,3771,9
127630,3771,23
140069,3771,288
140374,3771,366
43596,4197,26
85940,4197,541
91845,4678,56
230890,4926,9
80056,4935,191
102931,4935,90
145150,4935,219
142827,4942,13
21673,4989,7
89952,5046,75
91887,5387,7
123020,5387,14
12599,6722,4905
15503,6722,21
37762,6722,54
91114,6722,62
6941,6784,15
90422,6789,48
102947,6941,56
123020,6941,63
188834,6941,11
74720,6976,10
87566,7644,12
77279,7656,13
42642,7671,73
46443,7671,8
32735,7733,335
66594,7921,19
13513,8150,13
6784,8245,187
4935,8360,190
12684,8441,218
50777,8584,9
4935,8653,196
8245,8653,700
8245,9010,28
28498,9010,16
29282,9010,1016
113482,9010,5
33470,9058,6
96340,9058,12
177250,9058,9
2948,9077,136
39084,9077,23
20718,9112,219
125612,9112,15
74720,9198,11
111264,9468,9
241566,9737,28
8441,9887,17
17476,10368,20
90391,10491,310
92638,10787,13
132172,10942,5
97185,11081,11
127273,11141,11
16310,11166,40
6941,11382,261
20507,11382,15
33068,11382,1443
67328,11532,78
87851,11628,12
170476,11716,32
17371,11957,5
3711,12520,37
6722,12520,308
135698,12640,188
243426,12640,5
19886,12647,8
20433,12684,14
6941,12736,31
29189,12736,14
9058,12879,355
71149,13050,25
139443,13050,61
143183,13050,5
106680,13256,41
8441,13513,26
20433,13513,95
96317,13513,151
97846,13513,5
14392,13529,1843
23917,13548,102
7742,13639,53
38423,13712,8
69794,13712,84
184792,13718,60
13482,13860,5
81932,474,15
79019,568,23
26444,600,49
92065,600,11
17476,707,83
44008,707,23
118314,707,32
127472,707,6
82606,1014,5
209748,1014,12
6941,1212,33
59584,1442,37
85940,1515,30
15503,1534,7
3375,1901,34
154914,1916,13
189442,1933,7
12640,2102,7
54130,2102,7
148635,2102,13
156118,2102,312
6722,2132,10
26046,2134,10
49336,2134,214
100912,2134,31
36356,2194,25
138701,2194,93
191353,2194,36
30462,2196,24
655,2277,123
145033,2277,416
162483,2277,10
19886,2286,8
101576,2290,10
170754,2290,7
214531,2290,35
42940,2319,6
45115,2378,23
163409,2382,22
3771,2415,144
99559,2647,11
32440,2673,8
60884,2838,112
43810,2975,8
2099,3291,35
49735,3291,13
56605,3291,13
15200,3319,108
2139,3326,67
49322,3442,13
55716,3442,174
96705,3497,6
183852,3497,46
1933,3592,14
59106,3592,144
707,3711,9
36342,3711,6
60492,3747,9
167500,3747,6
126442,3750,1093
10814,3771,12
12684,3771,109
13529,3771,20
14429,3771,7
69437,3771,33
119300,3771,9
120993,3771,6
20943,3956,295
37460,4015,7
213985,4230,7
15869,4678,4755
19240,4678,18
19487,4678,271
52725,4678,424
109427,4926,19
8653,4935,171
12701,4935,35
20718,4935,92
75125,4935,68
85006,4935,5
111245,4935,53
127273,4935,12
154794,4935,7
205876,4935,14
240013,4935,6
2277,5046,179
25152,5244,14
160244,5244,48
199462,5244,6
53599,5748,20
48849,5761,18
9403,6722,6
65158,6722,35
80265,6722,51
149440,6722,519
128428,6729,14
76681,6744,5
99251,6744,378
127039,6744,6
124681,6774,38
15503,6784,61
71557,6847,7
2538,6941,5
15503,6941,84
15869,6941,21
19240,6941,23
15503,7184,637
20927,7184,385
68808,7327,28
81978,7656,8
49189,7796,84
76394,8245,127
50780,8360,15
51387,8360,465
6941,8398,20
2134,8441,1410
6722,8441,24
78266,8444,8
117172,8444,19
149183,8444,40
22988,8505,300
197527,8506,16
201261,8506,44
14348,8653,83
16517,8653,35
111202,8653,66
247923,8653,6
65158,8998,12
37619,9010,72
124759,9010,100
1072,9058,176
60530,9058,19
1653,9060,5
165788,9077,63
43761,9127,12
137636,9247,6
9526,9310,28
24962,9310,9
63691,9310,1437
71463,9316,8
109823,9316,405
71557,9323,5
90803,9468,519
154838,9621,19
24348,9887,45
6941,531,29
18216,531,174
9526,707,5
14047,707,241
46046,707,23
25663,1072,9
31541,1182,32
8444,1368,8
57516,1515,5
52725,1547,175
138701,1547,48
188834,1774,25
209980,1916,19
97862,2102,264
138922,2102,9
185988,2102,47
38374,2103,18
98653,2132,11
58149,2134,15
92503,2134,15
141267,2139,15
35912,2277,103
166971,2277,160
138772,2382,8
8360,2591,53
14806,2591,102
50063,2591,11
91108,2673,64
17509,2838,5
18534,2838,6
124138,2975,13
238504,3264,5
2538,3291,9
145836,3291,7
225737,3291,8
37265,3326,19
184297,3326,12
4429,3401,298
50777,3442,15
39899,3566,33
123848,3566,6
86038,3575,23
122018,3592,24
50777,3659,11
9316,3771,22
96340,3771,14
115136,3771,22
125386,3771,17
165922,3771,634
204306,3771,899
257470,3771,760
3442,3956,12
6941,3956,24
24424,3956,7
153744,4530,29
10423,4545,5
12520,4555,43
145150,4555,6
27000,4698,9
45304,4731,5
50789,4731,7
71107,4739,6
96317,4845,12
41292,4926,6
16868,4935,24
45304,4935,104
69826,4935,77
111224,4935,107
207414,5353,132
33068,6722,616
58150,6722,308
119067,6722,105
158238,6722,555
28624,6729,10
109545,6729,64
78960,6744,13
109867,6744,17
14429,6941,281
19487,6941,790
2134,7199,83348
19976,7921,30
95954,8185,7
222563,8284,149
29282,8319,97
65158,8441,9
75125,8441,475
145871,8492,22
11307,8505,5
60378,8506,28
1678,8584,7
6941,8653,12
100635,8653,132
126620,8653,17
77902,8923,13
125732,9010,122
180627,9010,9
111245,9053,7
40411,9058,156
75125,9058,10
92065,9058,10
132235,9058,16
186061,9058,11
15503,9077,7
21229,9077,36
128428,9077,301
168970,9077,22
170476,9097,10
4935,9310,97
14136,9468,7
89686,9501,330
20718,9526,13
118211,9621,24
182534,9887,15
216330,9887,928
80056,9902,211
79963,10100,9
9468,10348,102
45015,10348,52
47004,10348,18
6941,10423,9
9902,10481,6
20507,10491,182
45649,10743,10
80888,10854,6
94702,10855,162
11166,10942,25
108020,10950,20
168282,11049,66
56462,11141,33
87317,11141,9
136620,11166,14
52725,11307,14
19886,11382,14
47004,11382,45
220971,11382,23
32693,11599,302
86318,11628,15
170476,11922,20
80056,11957,274
257281,11957,55
98664,12520,188
186456,12604,5
40730,12647,140
87317,12647,5
159191,12999,398
6941,594,190
24369,594,13
14601,660,60
127273,707,12
165922,707,45
60492,1014,52
46443,1547,251
143297,1761,28
199098,2099,7
246389,2132,10
4935,2134,41
19886,2134,9
29282,2134,228
43745,2134,120
15498,2194,159
8441,2277,232
102168,2277,10
143586,2290,149
177701,2290,273
2070,2378,333
89114,2378,5
33073,2388,30
4989,2415,28
28498,2591,77
27160,2867,44
1665,2898,1176
16372,3291,229
18056,3291,38
24630,3291,42
67251,3291,72
143183,3291,14
162564,3291,10
189724,3291,20
14432,3319,161
143586,3326,155
27541,3375,6740
61172,3401,249
142359,3401,2274
220971,3442,7
240013,3442,8
182631,3497,5
50762,3592,79
3375,3630,21
6941,3659,6
15553,3725,611
2070,3750,7
160879,3771,544
19417,3956,14
50762,3956,13
93492,4533,5
14429,4555,369
19487,4555,217
25524,4555,17
29928,4645,8
87459,4652,9
31713,4678,1014
51205,4848,9
10423,4935,7
19886,4935,60
50762,4935,7
152847,4935,23
247413,4935,19
93492,4942,7
47030,6722,395
81634,6722,178
103576,6744,6
29991,6782,16
228798,6782,22
50762,6941,14
63361,6941,94
67266,6941,20
67272,6941,13
109414,6941,36
42944,7184,7
195222,7184,5
13529,7199,5
52676,7374,11
113710,7625,7
2070,7796,613
24407,8245,33
68808,8245,443
109867,8245,83
675,8284,8
128428,8319,13
16957,8360,22
47030,8360,6
6941,8441,50
18216,8441,13
93962,8441,20
96317,8441,34
107120,8441,16
7199,8444,29
145150,8451,8
15261,8653,132
184792,9010,173
8382,9058,7
96317,9077,793
102355,9077,32
25538,9097,6
138349,9247,5
2103,9403,223
6722,9468,23
29910,9887,344
27850,10348,30
123596,10348,24
116874,10423,6
164267,10705,10
234658,10854,15
4555,10855,118
83103,10855,73
100912,10983,7
129618,11101,13
18323,11141,7
17371,11354,6
18216,11356,24
40730,11382,520
43512,11382,61
20378,11599,977
75292,11628,5
125762,11957,70
75553,12053,34
184792,12520,59
49189,12599,173
66114,12604,8
95958,12604,14
11707,12640,11
43856,12736,33
15553,13049,380
30443,13049,19
179953,13049,8
81578,13060,9
3028,13097,239
52676,13097,18
226821,13204,13
9403,13256,20
87845,13274,8
51632,13513,39
59106,13513,7
142827,13542,85
170476,13648,15
6941,13664,86
37826,13718,25
51561,13958,12
139434,13958,30
215566,13979,27
99559,600,13
29282,707,115
73969,707,11
109416,707,294
86812,1212,150
147786,1547,35
63361,1774,15
31713,1933,12
3375,2072,4717
30929,2102,9
46741,2132,494
90391,2132,93
91114,2132,382
220971,2132,11
84983,2134,5
97134,2134,10
124999,2134,873
7921,2277,498
159660,2277,54
241838,2277,6
16427,2290,6
37755,2290,41
163985,2290,8
17509,2378,20
78697,2591,59
9403,2676,48
149440,2757,47
106753,2975,22
184331,3259,14
2325,3291,35
21742,3291,295
29033,3291,69
64720,3291,8
70526,3291,26
112062,3291,15
149183,3291,22
200142,3291,9
254451,3291,6
60042,3442,16
127273,3442,114
6941,3497,13
18211,3592,557
68781,3592,34
3291,3630,6
123848,3659,48
9316,3711,74
58636,3771,16
98648,3771,119
105466,3771,34
118492,3771,5
119087,3771,942
124999,3771,207
126442,3771,153
193884,3771,33
241566,3956,34
13718,4197,95
80056,4545,32
12520,4678,73
69677,4698,6
9403,4880,27
2134,4935,7
8284,4935,912
29144,4935,498
33449,4935,76
91375,4935,35
93962,4935,107
95289,4935,14
96317,4935,524
109339,4935,644
128753,4935,170
142357,4935,12
2134,6722,382
17506,6722,70
29144,6722,42
55716,6722,142
96317,6722,66
97846,6722,174
140069,6722,70
240013,6722,58
43761,6782,9
41591,6789,6
707,6941,113
8245,6941,108
12647,6941,152
87317,6941,234
132181,6941,141
116144,6976,5
6729,7055,6
33068,7199,149
161980,7656,14
66594,7796,18
112062,7921,44
6941,8245,216
9058,8245,56
159470,8245,35
20718,8284,11
1761,8360,17
60042,8441,45
63361,8441,21
127273,8441,175
52857,9010,7
84419,9010,11
179636,9010,5
43761,9058,109
80265,9058,552
144874,9058,18
179341,9058,105
20597,9077,1519
253720,9097,31
51632,9247,407
60378,9247,28
22824,9310,36
25524,9323,36
2124,9449,16
74971,9468,74
106114,9526,8
19240,9737,296
150807,9887,8
132514,9902,9
2070,10348,55
130901,10491,5
234147,10491,7
47233,10501,12
178545,10505,6
50917,10743,10
10423,10854,9
84302,10855,8
177941,10855,28
93086,10942,53
154794,10942,17
64643,10944,5
17371,10950,11
14136,11382,154
95598,11382,11
11141,11716,5
109427,11716,5
10423,11957,7
6941,12053,57
40730,12520,134
12684,12599,254
3771,12647,58
44008,12684,153
70352,12684,60
135213,12879,34
150652,12879,28
95704,568,99
212802,568,9
2134,707,186
6722,707,311
14138,707,191
97039,707,10
109339,707,537
80517,742,12
176077,1014,6
151267,1041,14
15503,1212,43
16261,1515,8
24118,1547,9
73758,1904,15
122412,1933,5
126442,2132,297
50789,2134,9
51387,2134,1593
28498,2277,284
229528,2277,32
16083,2290,26
39847,2290,170
122302,2290,68
124712,2290,43
9359,2319,275
49240,2319,10
120065,2378,61
159226,2378,121
214699,2434,7
4548,2591,64
26732,2591,426
35072,2757,29
1446,2898,88
1653,3291,273
7199,3291,285
43810,3319,5
2099,3326,8
60530,3326,441
73093,3326,56
233070,3326,6
98740,3375,56
3592,3401,648
8360,3401,5
19446,3401,353
67777,3401,882
14429,3442,364
115828,3442,5
8853,3497,21
134857,3566,11
1653,3592,47
170476,3659,49
12520,3711,6
94739,3750,34
4935,3771,1120
14047,3771,110
17476,3771,106
19886,3771,36
51387,3771,236
53861,3771,7
220116,3771,1277
65158,4456,5
14136,4678,5
67101,4678,1415
81634,4678,14
91887,4678,19
1009,4935,5
6729,4935,368
6976,4935,6
8245,4935,1056
22824,4935,325
29282,4935,305
44624,4935,10
49322,4935,134
83034,4935,28
86591,4935,16
125386,4935,381
134028,4935,8
4533,4942,15
93962,5034,10
53415,5387,27
43761,5748,5
43162,6722,151
77424,6722,71
50088,6784,77
8441,6941,59
20311,6941,214
20433,6941,890
51632,6941,13
96317,6941,131
96616,6941,30
121250,6941,15
15503,7164,9
114096,7184,7
180755,7184,11
15869,7199,34
19487,7199,48
47004,7199,2875
137383,7374,13
13014,7656,5
25485,7656,28
27541,7656,6
233070,7921,5
71555,8185,49
58149,8360,6
96340,8360,51
23917,8441,6
174932,8441,134
170754,8444,15
153007,8505,7
128428,8584,11
52643,8853,9
58149,9010,20
82167,9010,62
129833,9010,13
185866,9010,32
83103,9053,213
13529,9058,214
97641,9058,5
102149,9058,13
8853,9077,7
196738,9097,9
80784,9198,14
90482,9198,125
6941,9247,25
163409,9279,5
233041,9310,10
220116,9323,16
65158,9737,8
66594,9887,6
21566,9890,11
17476,9902,8
6941,10348,106
166683,10348,5
25663,10390,97
3771,10491,273
49189,10491,10
82486,10491,85
109416,10687,6
46107,10743,26
10574,10755,6
17371,10983,6
10942,11166,49
30639,11382,13
52725,11382,117
57661,11382,344
3592,346,25415
1904,563,53
15503,707,29
75125,707,41
148635,707,13
216948,707,40
90369,1014,300
91459,1296,25
69794,1547,25
4935,1761,305
146035,1761,24
3319,1916,21
89323,1933,10
129618,2102,6
16259,2132,188
58150,2132,12
35998,2134,31
119087,2194,55
10950,2277,355
32735,2277,40
49201,2277,825
110815,2277,13
2099,2378,30
3326,2591,297
64281,2591,8
26444,2647,7
22798,2898,10
223594,2975,9
3326,3291,3738
6941,3291,178
117172,3291,52
16807,3326,18
42359,3326,35
79382,3326,42
97732,3326,6
120065,3326,15
97394,3401,15
131186,3401,9
3771,3442,168
27636,3442,28
29991,3442,26
51632,3442,37
83103,3442,12
88954,3442,56
111245,3442,6
41923,3497,7
142234,3497,9
8360,3592,14
36213,3704,13
33068,3711,15
12520,3771,564
44421,3771,31
123120,3771,67
129231,3771,176
204737,3771,15
226821,3771,50
75726,3956,57
123848,4197,14
35950,4456,6
25490,4533,9
105099,4533,5
139038,4645,7
36449,4652,18
31713,4739,720
67101,4739,31
40123,4935,417
41386,4935,6
68808,4935,19
70498,4935,138
109414,4935,25
202666,4935,14
222562,4935,33
149945,5062,12
7374,5244,90
16104,5387,10
12520,6722,760
22886,6722,37
102041,6722,48
165060,6729,16
2159,6941,40
19886,6941,33
52725,6941,18
56462,6941,65
58149,6941,49
68808,6941,227
35950,7164,8
128005,7184,9
15132,7199,5
47030,7199,288
6941,7644,9
6941,7671,7
7199,7733,19
6941,7744,10
13204,7744,104
20311,7796,52
55933,7796,24
97287,7796,5
142357,7796,14
201922,7835,8
82606,8150,25
8150,8185,19
164234,8185,14
16422,8245,43
4935,8284,218
100281,8401,7
707,8441,11
16259,8441,8
1791,8653,367
14033,8830,926
187208,8923,10
220996,9010,7
13548,9053,114
25537,9058,10
42642,9058,37
46443,9058,1654
60369,9058,244
74720,9058,30
97420,9058,189
117584,9058,12
195222,9058,33
226821,9058,62
128428,9323,12
52725,10278,24
128428,10423,5
114627,10854,20
16310,10942,44
50071,10944,5
241842,11035,5
110815,11101,23
14429,11141,10
219712,11308,21
128077,11354,6
10814,11382,58
14429,11382,173
19487,11382,459
49322,11382,147
55716,11382,45
121250,11382,28
149440,11382,9
170642,11382,5
105971,12086,5
12684,12520,171
82167,12520,44
117484,12520,14
2134,12599,8
12684,707,130
13529,707,61
19487,707,73
44134,707,23
85940,742,60
16518,1774,28
998,1791,6
2070,1933,5
86260,1933,15
707,2102,39
90768,2102,5
45304,2124,256
50789,2124,8
14136,2132,102
24261,2132,227
82167,2132,26
165922,2132,15
6941,2134,222
96340,2134,117
257470,2134,78
66594,2290,21
137636,2290,5
2325,2378,1861
83,2591,297
22569,2591,58
37805,2591,460
6744,2676,58
19886,2676,17
93835,2676,23
2591,2898,142
26732,3151,37
9058,3291,14
13164,3291,1416
19073,3291,45
19976,3291,151
170754,3291,10
209292,3291,6
218401,3291,66
231131,3291,8
13548,3401,391
93835,3497,21
14432,3566,44
26427,3566,9
39218,3747,5
40730,3771,20
58149,3771,6
204508,3771,112
236118,3873,17
123596,3956,11
25315,4000,1074
176077,4197,48
17476,4548,82
127273,4555,203
59106,4678,232
130937,4678,11
30639,4739,32
3771,4935,16
22886,4935,11
29991,4935,121
37762,4935,41
44995,4935,25
83103,4935,505
98027,4935,28
139142,4935,16
226821,4935,11
86412,5387,101
22412,5697,26
90803,5748,19
3771,6722,1856
47004,6722,3342
90461,6722,1091
57645,6744,181
96616,6782,273
109416,6782,2453
8245,6784,408
91413,6784,9
13513,6941,8
31713,6941,20
83103,6941,24
90461,6941,503
239544,7164,5
10652,7184,9
6941,7199,5
142658,7656,5
3956,7733,10
18216,8150,8
179253,8284,14
30429,8354,2380
49240,8360,10
8998,8398,449
4935,8441,821
19886,8441,21
1368,8444,133
97000,8506,11
92822,8566,5
99182,8653,32
102931,9010,6
53599,9053,20
16422,9058,11
43798,9058,21
181161,9058,29
6744,9077,71
42335,9077,136
114309,9077,43
90422,9097,16
82875,9112,12
25663,9127,10
41923,9198,12
99733,9198,17
123848,9198,13
20183,9217,291
18211,9247,10947
196740,9247,39
40115,9310,54
40342,9316,408
13548,9468,65
43761,9468,111
63361,9468,78
86412,9501,489
55739,9621,82
105172,9621,8
6941,9737,45
24424,9737,138
128722,9737,96
132181,9737,10
187174,9737,17
2099,9887,7
23917,9887,23
87459,9887,20
116039,9890,13
175514,9902,21
96616,10390,10
17506,10491,13
97287,10491,246
190087,10532,16
22359,11035,7
98256,11049,59
113280,11101,7
91887,11106,14
233918,11141,19
6941,11460,158
32231,11599,317
128428,11716,20
80888,11957,28
88554,11980,5
707,600,8
33068,707,10
43745,707,26
69437,707,34
125211,707,263
36158,998,107
155400,1014,221
236090,1296,27
86872,1442,20
118775,1442,5
80265,1547,50
